Numero;
97871;
102147;
85122;
99541;
105686;
105697;
105720;
105842;
105841;
105884;
105933;
105934;
105932;
105931;
105967;
105966;
105968;
106005;
106041;
106084;
99601;
104988;
106237;
106016;
106489;
106672;
8500;
106897;
106707;
106553;
61162;
105709;
105714;
107027;
86606;
103817;
106939;
106254;
102928;
104336;
104341;
103881;
103834;
106522;
102924;
102561;
101924;
106937;
106936;
106546;
107008;
93776;
106906;
107028;
107071;
106901;
104956;
106568;
13901;
88788;
99889;
94573;
105338;
102771;
104044;
101510;
98129;
104049;
102188;
104569;
106117;
106123;
106132;
106162;
106163;
106168;
106171;
106186;
106239;
106251;
106245;
106312;
106363;
106388;
106389;
106404;
106402;
106395;
106323;
106326;
106465;
106466;
106532;
104210;
106582;
106583;
106574;
106591;
106636;
106637;
106638;
106642;
106671;
106673;
106670;
106669;
100351;
106756;
106757;
106758;
106808;
106846;
106847;
106977;
104221;
105455;
106899;
105721;
104989;
106370;
105057;
104001;
102190;
105575;
99805;
106038;
106507;
106494;
106825;
106519;
105519;
105489;
105448;
105393;
105334;
105269;
105173;
104637;
104156;
103343;
102966;
102087;
99451;
99015;
96814;
105047;
88623;
106265;
106765;
106512;
106880;
101947;
104891;
105341;
104198;
100742;
98934;
105508;
100836;
96502;
106067;
105935;
106303;
105870;
105083;
104685;
105029;
101337;
102445;
105341;
105946;
103467;
104330;
103596;
102024;
103325;
104702;
102042;
104703;
103394;
106305;
103109;
101383;
102436;
104065;
104781;
104317;
103417;
104105;
105539;
105734;
104321;
104751;
103382;
99072;
98283;
96093;
96088;
90389;
87944;
96376;
99078;
103476;
101828;
99508;
101210;
88045;
95841;
103480;
102813;
90261;
102813;
100414;
97722;
88027;
93055;
100669;
96155;
100677;
100077;
98328;
99245;
99666;
101825;
